;Medio;Fecha;Título;Tema dominante;Eje analítico;Enlace
1;Reuters;11/07/2025;UN report urges stronger measures to detect AI-driven deepfakes;Verificación de contenidos;Regulación;https://www.reuters.com/business/un-report-urges-stronger-measures-detect-ai-driven-deepfakes-2025-07-11/
2;Reuters;18/12/2024;Report on deepfakes: what the Copyright Office found and what comes next in AI regulation;Legislación sobre réplicas digitales;Regulación;https://www.reuters.com/legal/legalindustry/report-deepfakes-what-copyright-office-found-what-comes-next-ai-regulation-2024-12-18/
3;Reuters;23/04/2025;Musk's X sues to block Minnesota 'deepfake' law over free speech concerns;Libertad de expresión y regulación electoral;Regulación;https://www.reuters.com/business/media-telecom/musks-x-sues-block-minnesota-deepfake-law-over-free-speech-concerns-2025-04-23/
4;Reuters;26/09/2024;South Korea to criminalise watching or possessing sexually explicit deepfakes;Penalización del consumo de deepfakes sexuales;Regulación;https://www.reuters.com/world/asia-pacific/south-korea-criminalise-watching-or-possessing-sexually-explicit-deepfakes-2024-09-26/
6;The New York Times;29/06/2025;A.I. Videos Have Never Been Better. Can You Tell What’s Real?;Distinción entre contenido real y sintético;Innovación;https://www.nytimes.com/interactive/2025/06/29/business/ai-video-deepfake-google-veo-3-quiz.html
7;The New York Times;02/10/2025;OpenAI’s New Video App Is Jaw-Dropping (for Better and Worse);Plataformización social del video sintético;Innovación;https://www.nytimes.com/2025/10/02/technology/openai-sora-video-app.html
8;BBC News;08/08/2025;Elon Musk's AI accused of making explicit AI Taylor Swift videos;Abuso de imagen y sexualización no consentida;Riesgo social;https://www.bbc.com/news/articles/ced5wvn48q5o
9;BBC News;08-10-2025 aprox.;Scammers using AI to lure shoppers to fake businesses;Suplantación comercial y fraude;Credibilidad;https://www.bbc.com/news/articles/ced5wvn48q5o
10;BBC News;19/08/2025;Man sent friends nude deepfakes of woman from high school;Victimización y difusión no consentida;Riesgo social;https://www.bbc.com/news/articles/c3v37372gxro
11;BBC Scotland News;19/09/2025;Friend stole my face for deepfake nudes – now I want tougher laws;Reclamo de endurecimiento legal;Regulación;https://www.bbc.com/news/articles/c4g7kw8ly4ko
12;BBC Newsnight / BBC News;23/07/2025;AI deepfake porn humiliated me, says Mordaunt;Impacto político y daño íntimo;Riesgo social;https://www.bbc.com/news/articles/ckg3r3vm1d0o
13;BBC News;22/07/2025;Deepfake deception: Indian woman's identity stolen for erotic AI content;Robo de identidad y pornificación;Riesgo social;https://www.bbc.com/news/articles/cn0znk47x9eo
